id,name,categoryId
1,ไก่,1
2,หมู,1
3,เนื้อวัว,1
4,เนื้อแกะ,1
5,เป็ด,1
6,ไก่งวง,1
7,เบคอน,1
8,แฮม,1
9,ไส้กรอก,1
10,เนื้อกวาง,1
11,เนื้อลูกวัว,1
12,เนื้อแพะ,1
13,เปปเปอโรนี,1
14,ซาลามี,1
15,พรอสชุตโต,1
16,นกกระทา,1
17,ห่าน,1
18,วากิวบีฟ,1
19,หมูสับ,1
20,เนื้อสับ,1
21,สามชั้น,1
22,ซี่โครงหมู,1
23,สันนอกหมู,1
24,สันในหมู,1
25,คอหมู,1
26,น่องไก่,1
27,ปีกไก่,1
28,อกไก่,1
29,สะโพกไก่,1
30,เอ็นแก้วหมู,1
31,ตับหมู,1
32,ไส้อ่อนหมู,1
33,กระเพาะหมู,1
34,เนื้อจระเข้,1
35,เนื้อกบ,1
36,หมูป่า,1
37,เป็ดย่าง,1
38,เป็ดพะโล้,1
39,ลูกชิ้นหมู,1
40,ลูกชิ้นเนื้อ,1
41,ลูกชิ้นไก่,1
42,ลูกชิ้นปลา,1
43,หมูยอ,1
44,กุนเชียง,1
45,แหนม,1
46,แคบหมู,1
47,หนังหมู,1
48,ตับไก่,1
49,กึ๋นไก่,1
50,ตับวัว,1
51,เนื้อติดมัน,1
52,ไส้กรอกอีสาน,1
53,หมูเด้ง,1
54,หมูกรอบ,1
55,แอปเปิ้ล,4
56,กล้วย,4
57,ส้ม,4
58,สตรอว์เบอร์รี,4
59,องุ่น,4
60,แตงโม,4
61,มะม่วง,4
62,สับปะรด,4
63,กีวี,4
64,บลูเบอร์รี,4
65,ราสพ์เบอร์รี,4
66,แบล็คเบอร์รี,4
67,พีช,4
68,สาลี่,4
69,พลัม,4
70,เชอร์รี,4
71,มะนาวเหลือง,4
72,มะนาวเขียว,4
73,มะพร้าว,4
74,อะโวคาโด,4
75,ทับทิม,4
76,มะเดื่อ,4
77,มะละกอ,4
78,แก้วมังกร,4
79,ทุเรียน,4
80,ลิ้นจี่,4
81,เมลอน,4
82,มะยม,4
83,มะขาม,4
84,มะขามเปียก,4
85,มะดัน,4
86,มะปราง,4
87,มะยงชิด,4
88,มะไฟ,4
89,พุทรา,4
90,ละมุด,4
91,น้อยหน่า,4
92,ลำไย,4
93,เงาะ,4
94,มังคุด,4
95,ลองกอง,4
96,ลางสาด,4
97,ขนุน,4
98,กระท้อน,4
99,ลูกหว้า,4
100,เสาวรส,4
101,แคนตาลูป,4
102,แตงไทย,4
103,แครนเบอร์รี,4
104,ลูกพรุน,4
105,ลูกเกด,4
106,สาลี่หิมะ,4
107,ทับทิมสเปน,4
108,กุ้ง,2
109,ปู,2
110,แซลมอน,2
111,ปลาหมึก,2
112,หอยแมลงภู่,2
113,กุ้งมังกร,2
114,ปลาหมึกยักษ์,2
115,หอยลาย,2
116,หอยนางรม,2
117,ปลาทูน่า,2
118,ปลาคอด,2
119,ปลาเทราต์,2
120,ปลาแมคเคอเรล,2
121,ปลากะพง,2
122,ปลาซาร์ดีน,2
123,หอยเชลล์,2
124,เม่นทะเล (อูนิ),2
125,ปลาไหล (อูนางิ),2
126,คาเวียร์,2
127,สาหร่าย,2
128,แมงกะพรุน,2
129,ปลานิล,2
130,ปลาทับทิม,2
131,ปลาดุก,2
132,ปลาช่อน,2
133,ปลากราย,2
134,ปลาทู,2
135,ปลาจาระเม็ด,2
136,ปลากะพงขาว,2
137,ปลากะพงแดง,2
138,ปลาอินทรี,2
139,ปลาเก๋า,2
140,ปลาหมึกกล้วย,2
141,ปลาหมึกกระดอง,2
142,ปลาหมึกหอม,2
143,กุ้งก้ามกราม,2
144,กุ้งฝอย,2
145,กุ้งลายเสือ,2
146,กุ้งแชบ๊วย,2
147,ปูม้า,2
148,ปูดำ,2
149,ปูทะเล,2
150,หอยแครง,2
151,หอยหวาน,2
152,หอยหลอด,2
153,ไข่ปลาริวกิว,2
154,ปลาทูแม่กลอง,2
155,สาหร่ายวากาเมะ,2
156,ข่าอ่อน,3
157,มะเขือเทศ,3
158,แครอท,3
159,มันฝรั่ง,3
160,กะหล่ำปลี,3
161,บรอกโคลี,3
162,ผักโขม,3
163,ผักกาดหอม,3
164,แตงกวา,3
165,เห็ด,3
166,หน่อไม้ฝรั่ง,3
167,ซูกินี,3
168,มะเขือยาว,3
169,ข้าวโพด,3
170,ถั่วลันเตา,3
171,กะหล่ำดอก,3
172,ขึ้นฉ่าย,3
173,เคล,3
174,ฟักทอง,3
175,มันเทศ,3
176,หัวไชเท้า,3
177,ผักกวางตุ้ง,3
178,ผักกาดขาว,3
179,ผักกาดเขียว,3
180,ผักคะน้า,3
181,ผักบุ้งจีน,3
182,ผักบุ้งไทย,3
183,ผักกระเฉด,3
184,ผักชีฝรั่ง,3
185,ต้นหอม,3
186,ใบตั้งโอ๋,3
187,ผักแพว,3
188,ผักกูด,3
189,ผักหนาม,3
190,ยอดมะพร้าวอ่อน,3
191,มะระขี้นก,3
192,มะระจีน,3
193,บวบเหลี่ยม,3
194,บวบงู,3
195,ฟักเขียว,3
196,แฟง,3
197,มะเขือเปราะ,3
198,มะเขือพวง,3
199,มะเขือลาย,3
200,มะเขือเทศท้อ,3
201,มะเขือเทศราชินี,3
202,ถั่วฝักยาว,3
203,ถั่วพู,3
204,ถั่วแขก,3
205,ถั่วงอก,3
206,กุยช่าย,3
207,ดอกกุยช่าย,3
208,หน่อไม้สด,3
209,หน่อไม้ดอง,3
210,ยอดมะระ,3
211,ยอดฟักแม้ว,3
212,ผักหวานป่า,3
213,ผักหวานบ้าน,3
214,สะตอ,3
215,ชะอม,3
216,ชะพลู,3
217,ใบเหลียง,3
218,ใบปอ,3
219,ใบบัวบก,3
220,ผักกาดสลัด,3
221,เรดโอ๊ค,3
